CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600X 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,16:42:02 - July 02 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
16:55:52 07/02/25,74,74,74,74,74,74,,,70,87,13,3668.13,,70,87,12,3668.13,,70,87,9,3668.13,,70,87,17,3668.13,,70,87,11,3668.13,,70,87,10,3668.13,49.2,
16:56:02 07/02/25,73,73,73,73,73,73,,,70,87,19,3668.13,,70,87,12,3668.13,,70,87,13,3668.13,,70,87,21,3668.13,,70,87,9,3668.13,,70,87,17,3668.13,49.9,
16:56:12 07/02/25,73,73,73,73,73,73,,,70,87,7,4641.31,,70,87,6,4641.31,,70,87,7,3713.05,,70,87,8,3713.05,,70,87,9,3713.05,,70,87,8,3713.05,51.5,
16:56:22 07/02/25,73,73,73,73,73,73,,,70,87,13,4541.50,,70,87,7,4541.50,,70,87,5,3633.20,,70,87,11,3633.20,,70,87,6,3633.20,,70,87,7,3633.20,48.4,
16:56:32 07/02/25,77,77,77,77,77,77,,,70,87,21,3668.13,,70,87,12,3668.13,,70,87,7,3668.13,,70,87,14,3668.13,,70,87,8,3668.13,,70,87,9,3668.13,49.9,
16:56:42 07/02/25,76,76,76,76,76,76,,,70,87,16,4566.45,,70,87,12,4566.45,,70,87,5,4566.45,,70,87,13,3713.05,,70,87,9,3713.05,,70,87,7,3713.05,52.1,
16:56:52 07/02/25,74,74,74,74,74,74,,,70,87,17,3668.13,,70,87,10,3668.13,,70,87,8,3668.13,,70,87,14,3668.13,,70,87,5,4641.31,,70,87,5,4641.31,53.3,
16:57:02 07/02/25,73,73,73,73,73,73,,,70,87,14,3668.13,,70,87,9,3668.13,,70,87,4,4641.31,,70,87,12,4641.31,,70,87,9,4641.31,,70,87,5,4641.31,48.9,
16:57:12 07/02/25,73,73,73,73,73,73,,,70,87,14,4641.31,,70,87,9,4641.31,,70,87,4,3713.05,,70,87,18,3713.05,,70,87,7,3713.05,,70,87,6,3713.05,51.1,
16:57:22 07/02/25,74,74,74,74,74,74,,,70,87,20,4641.31,,70,87,6,4641.31,,70,87,6,4641.31,,70,87,17,4641.31,,70,87,13,3713.05,,70,87,9,3713.05,51.6,
16:57:32 07/02/25,73,73,73,73,73,73,,,70,87,18,4616.36,,70,87,7,4566.45,,70,87,2,4566.45,,70,87,13,4566.45,,70,87,8,4566.45,,70,87,7,4566.45,51.5,
16:57:42 07/02/25,73,73,73,73,73,73,,,70,87,13,4641.31,,70,87,5,4641.31,,70,87,4,3713.05,,70,87,12,3713.05,,70,87,4,3713.05,,70,87,2,3713.05,48.8,
16:57:52 07/02/25,74,74,74,74,74,74,,,70,87,20,4566.45,,70,87,11,4566.45,,70,87,6,4566.45,,70,87,16,4566.45,,70,87,5,4566.45,,70,87,9,4566.45,55.1,
16:58:02 07/02/25,73,73,73,73,73,73,,,70,87,9,4641.31,,70,87,4,4641.31,,70,87,3,3713.05,,70,87,17,3713.05,,70,87,4,3713.05,,70,87,4,3713.05,49.9,
